time,Fx,Fy,Fz
2.89765,-0.0523158,0.200544,-0.305176
2.89766,-0.13079,0.313895,-0.235421
2.89767,-0.0348772,0.38365,-0.348772
2.89768,-0.13079,0.470843,-0.287737
2.89769,-0.287737,0.601632,-0.104632
2.8977,-0.12207,0.392369,-0.191825
2.89771,-0.296456,0.25286,-0.156948
2.89772,-0.322614,0.0784738,-0.0523158
2.89773,-0.183105,0.0523158,-0.165667
2.89774,-0.296456,0.305176,-0.0523158
2.89775,-0.191825,0.0261579,0.0697545
2.89776,-0.0174386,0.279018,0.226702
2.89777,-0.0348772,0.714983,0.104632
2.89778,-0.156948,0.313895,-0.104632
2.89779,-0.0697545,-0.209263,-0.113351
2.8978,0.0261579,-0.104632,-0.348772
2.89781,-0.217983,0.235421,-0.322614
2.89782,-0.0523158,0.200544,-0.209263
2.89783,-0.00871931,0.270299,-0.200544
2.89784,-0.13079,0.697545,-0.191825
2.89785,-0.0959124,0.479562,-0.244141
2.89786,-0.200544,0,-0.12207
2.89787,0.0610352,0.435965,0.0348772
2.89788,-0.191825,0.305176,-0.0348772
2.89789,-0.183105,-0.453404,-0.244141
2.8979,0.0871931,-0.418527,-0.0871931
2.89791,-0.226702,-0.165667,0.0697545
2.89792,0.0261579,-0.296456,-0.165667
2.89793,-0.0174386,-0.305176,-0.0348772
2.89794,-0.209263,-0.13079,-0.0871931
2.89795,-0.0959124,-0.25286,-0.279018
2.89796,-0.217983,-0.50572,-0.156948
2.89797,-0.261579,-0.226702,-0.313895
2.89798,-0.183105,-0.348772,-0.296456
2.89799,-0.217983,-0.226702,-0.244141
2.898,-0.139509,0.270299,-0.444685
2.89801,0.104632,-0.13079,-0.261579
2.89802,0.0348772,0.0697545,-0.0174386
2.89803,-0.0348772,0.287737,-0.156948
2.89804,-0.0523158,-0.0435965,-0.191825
2.89805,-0.156948,-0.331334,-0.0871931
2.89806,-0.13079,0.0174386,-0.165667
2.89807,-0.139509,0.322614,-0.0697545
2.89808,0.13079,-0.0610352,-0.0523158
2.89809,0.113351,0.0348772,-0.261579
2.8981,-0.183105,0,-0.235421
2.89811,-0.148228,-0.479562,-0.209263
2.89812,-0.0784738,-0.453404,-0.200544
2.89813,0.156948,-0.235421,-0.244141
2.89814,0.165667,-0.540597,-0.209263
2.89815,-0.0784738,-0.523158,-0.165667
2.89816,0.0261579,-0.444685,-0.279018
2.89817,0.104632,-0.802176,-0.322614
2.89818,-0.165667,-0.75858,-0.235421
2.89819,0.0348772,-0.322614,-0.0697545
2.8982,0.0523158,0.12207,0.00871931
2.89821,-0.0784738,0.0784738,-0.156948
2.89822,0.104632,-0.296456,-0.148228
2.89823,-0.156948,-0.50572,-0.113351
2.89824,-0.0610352,-0.357492,-0.200544
2.89825,0.0959124,0.0174386,-0.13079
2.89826,-0.00871931,-0.0348772,-0.200544
2.89827,0.0523158,0.261579,-0.139509
2.89828,-0.0871931,0.488281,-0.0871931
2.89829,-0.165667,0.235421,-0.0523158
